name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,email,email_source
Bar Bodega Carmelo,"Carrer de Francesc Alegre, 5, Horta-Guinardó, 08024 Barcelona",,,,bar,carmelo barcelona,,,41.4213692,2.1482236,,
Las Delicias,"Carrer de Mühlberg, 1, Horta-Guinardó, 08024 Barcelona",barrestaurantedelicias.com,https://barrestaurantedelicias.com,934 29 22 02,bar,carmelo barcelona,,,41.4183003,2.1395777,,
Club Petanca Carmel,"Carrer de la Gran Vista, 27, Horta-Guinardó, 08032 Barcelona",,,931 38 31 16,bar,carmelo barcelona,,,41.4183003,2.1395777,,
BAR La Rambla del Carmel,"Rambla del Carmel, 4, Horta-Guinardó, 08032 Barcelona",,,934 20 40 36,bar,carmelo barcelona,,,41.4183003,2.1395777,,
Bar Pardo,"Carrer del Dr. Bové, 121, Horta-Guinardó, 08032 Barcelona",,,934 20 66 25,bar,carmelo barcelona,,,41.4183003,2.1395777,,
Bar Bodega 'Pepito',"Carrer de la Gran Vista, 131, Horta-Guinardó, 08032 Barcelona",,,,bar,carmelo barcelona,,,41.4183003,2.1395777,,
