name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,email,email_source
Double Down Brewpub And Cafe,"11/1 SARAT BOSE ROAD, Ideal Plaza GR Floor, near Kotak bank and, opp. Axis Bank, Kolkata, West Bengal 700020, India",,,+91 62994 24170,bar,calcuta,,,22.5389994,88.2821409,,
"The Irish House, Kolkata","5th Floor, Quest Mall, 33, Syed Amir Ali Ave, Lower Range, Beck Bagan, Ballygunge, Kolkata, West Bengal 700017, India",theirishhouse.in,https://theirishhouse.in,+91 90733 07721,bar,calcuta,,,22.5389994,88.2821409,,
